code,name,value
AN,Andaman and Nicobar Islands,86.27
AP,Andhra Pradesh,66.4
AR,Arunachal Pradesh,66.95
AS,Assam,85.9
BR,Bihar,70.9
CH,Chandigarh,86.43
CG,Chhattisgarh,77.3
DL,Delhi,88.7
DH,Dadra & Nagar Haveli and Daman & Diu,80.5
GA,Goa,87.4
GJ,Gujarat,82.4
HR,Haryana,80.4
HP,Himachal Pradesh,86.6
JK,Jammu & Kashmir,77.3
JH,Jharkhand,74.3
KA,Karnataka,77.2
KL,Kerala,96.2
LA,Lakshadweep,92.28
LD,Ladakh,87
MP,Madhya Pradesh,73.7
MH,Maharashtra,84.8
MN,Manipur,79.85
ML,Meghalaya,75.48
MZ,Mizoram,91.58
NL,Nagaland,80.11
OD,Odisha,77.3
PY,Puducherry,86.55
PB,Punjab,83.7
RJ,Rajasthan,69.7
SK,Sikkim,82.2
TN,Tamil Nadu,82.9
TS,Telangana,72.8
TR,Tripura,87.75
UP,Uttar Pradesh,73
UK,Uttarakhand,87.6
WB,West Bengal,80.5
